season,week,date,time,away_team,home_team,game_url
2010,5,2010-10-11,9:15PM,Minnesota Vikings,New York Jets,https://www.pro-football-reference.com/boxscores/201010110nyj.htm
2010,6,2010-10-17,1:00PM,San Diego Chargers,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201010170ram.htm
2010,6,2010-10-17,1:02PM,Baltimore Ravens,New England Patriots,https://www.pro-football-reference.com/boxscores/201010170nwe.htm
2010,6,2010-10-17,1:02PM,Atlanta Falcons,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201010170phi.htm
2010,6,2010-10-17,1:02PM,Seattle Seahawks,Chicago Bears,https://www.pro-football-reference.com/boxscores/201010170chi.htm
2010,6,2010-10-17,1:02PM,Cleveland Browns,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201010170pit.htm
2010,6,2010-10-17,1:02PM,Miami Dolphins,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201010170gnb.htm
2010,6,2010-10-17,1:02PM,New Orleans Saints,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201010170tam.htm
2010,6,2010-10-17,1:03PM,Detroit Lions,New York Giants,https://www.pro-football-reference.com/boxscores/201010170nyg.htm
2010,6,2010-10-17,1:03PM,Kansas City Chiefs,Houston Texans,https://www.pro-football-reference.com/boxscores/201010170htx.htm
2010,6,2010-10-17,4:05PM,New York Jets,Denver Broncos,https://www.pro-football-reference.com/boxscores/201010170den.htm
2010,6,2010-10-17,4:05PM,Oakland Raiders,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201010170sfo.htm
2010,6,2010-10-17,4:15PM,Dallas Cowboys,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201010170min.htm
2010,6,2010-10-17,8:31PM,Indianapolis Colts,Washington Redskins,https://www.pro-football-reference.com/boxscores/201010170was.htm
2010,6,2010-10-18,8:40PM,Tennessee Titans,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201010180jax.htm
2010,7,2010-10-24,1:02PM,Buffalo Bills,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201010240rav.htm
2010,7,2010-10-24,1:02PM,Pittsburgh Steelers,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201010240mia.htm
2010,7,2010-10-24,1:02PM,Cleveland Browns,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201010240nor.htm
2010,7,2010-10-24,1:02PM,Philadelphia Eagles,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201010240oti.htm
2010,7,2010-10-24,1:02PM,St. Louis Rams,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201010240tam.htm
2010,7,2010-10-24,1:03PM,San Francisco 49ers,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201010240car.htm
2010,7,2010-10-24,1:03PM,Jacksonville Jaguars,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201010240kan.htm
2010,7,2010-10-24,1:04PM,Washington Redskins,Chicago Bears,https://www.pro-football-reference.com/boxscores/201010240chi.htm
2010,7,2010-10-24,1:05PM,Cincinnati Bengals,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201010240atl.htm
2010,7,2010-10-24,4:06PM,Arizona Cardinals,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201010240sea.htm
2010,7,2010-10-24,4:15PM,New England Patriots,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201010240sdg.htm
2010,7,2010-10-24,4:15PM,Oakland Raiders,Denver Broncos,https://www.pro-football-reference.com/boxscores/201010240den.htm
2010,7,2010-10-24,8:30PM,Minnesota Vikings,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201010240gnb.htm
2010,7,2010-10-25,8:41PM,New York Giants,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201010250dal.htm
2010,8,2010-10-31,1:00PM,Carolina Panthers,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201010310ram.htm
2010,8,2010-10-31,1:02PM,Washington Redskins,Detroit Lions,https://www.pro-football-reference.com/boxscores/201010310det.htm
2010,8,2010-10-31,1:03PM,Green Bay Packers,New York Jets,https://www.pro-football-reference.com/boxscores/201010310nyj.htm
